10D,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
11E,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
11F,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,0
12B,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
13B,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,0
13E,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
13F,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
18B,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
19B,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
1A,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
1D,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
1E,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
1F,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
21A,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
21D,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
21F,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
22B,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
22E,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
23A,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
23C,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
23D,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
23E,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
23F,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
24A,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
24B,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
24C,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
24D,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
24E,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
24F,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,1,0,1
4E,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
5F,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
6D,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
7D,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
9E,BR220608S10H10YC004388.jpg,BR220608S10H10YC004388.jpg,0,1,0
