local,filename,path,trinca,solda_fria,outros
12C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,1,0,0
12E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,0,1,0
13A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,0,1,0
15A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,1,0,0
15C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,0,1,0
15E,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,0,1,0
18A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,1,0,0
22A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,1,1,0
24A,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,1,0,0
3C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,1,0,0
4C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,1,0,0
7C,BR220831S10H10YJ0006.jpg,BR220831S10H10YJ0006.jpg,1,1,0
